交易日期,小单主动买入占比,中单主动买入占比,大单主动买入占比,小单买入额(万元),中单买入额(万元),大单买入额(万元)
2019-01-22,0.6899335137062425,0.2302813738162516,0.0797851124775059,19088546.29,6371246.76,2207432.7199999997
2019-01-23,0.6814923339156863,0.2324488593480106,0.08605880673630308,16513682.649999999,5632619.04,2085346.7499999998
2019-01-24,0.6520401817325082,0.24833380589469428,0.0996260123727974,19466241.87,7413846.67,2974270.7699999996
2019-01-25,0.6433628064490928,0.2482930570504925,0.10834413650041462,19993581.07,7716124.27,3366976.2299999995
2019-01-28,0.6570312736662427,0.2437502987106807,0.09921842762307663,19554477.27,7254463.93,2952925.63
2019-01-29,0.6776675228352116,0.2346742968857325,0.08765818027905595,19740370.740000002,6836033.109999999,2553471.9
2019-01-30,0.6766848193550931,0.23762143793105525,0.08569374271385158,15928522.5,5593384.5600000005,2017149.8900000001
2019-01-31,0.6464198909238495,0.2463227019962684,0.10725740707988195,18322797.4,6982026.74,3040215.45
2019-02-01,0.6078897138590963,0.26807563296115094,0.12403465317975275,15783125.05,6960261.28,3220410.54
2019-02-11,0.6016811977678027,0.2712085263462557,0.1271102758859416,19086211.15,8603132.719999999,4032124.61
2019-02-12,0.6209850949217631,0.26669727137482063,0.11231763370341627,22526076.29,9674375.649999999,4074293.58
2019-02-13,0.579078700108043,0.2785353209588545,0.14238597893310243,27271606.91,13117570.690000001,6705641.99
2019-02-14,0.6234171539535864,0.2618035358799296,0.11477931016648403,25862591.299999997,10860974.559999999,4761643.74
2019-02-15,0.6366017478766463,0.254837882710255,0.1085603694130987,26475161.77,10598265.23,4514837.34
2019-02-18,0.5689411267508845,0.28479436504554645,0.14626450820356898,30954340.41,15494787.26,7957802.949999999
2019-02-19,0.6106396781594666,0.2692682763988651,0.12009204544166834,36779970.53,16218532.18,7233368.630000001
2019-02-20,0.6223278815226513,0.26534138713003413,0.11233073134731464,30890915.58,13170932.290000001,5575837.5
2019-02-21,0.601937300061366,0.2689234240653961,0.12913927587323795,37020482.56,16539388.619999997,7942352.649999999
2019-02-22,0.5617475254292793,0.2782492110892443,0.1600032634814764,34744509.730000004,17209924.36,9896322.98
2019-02-25,0.515328879408845,0.28728261023108537,0.1973885103600696,53289861.910000004,29707728.87,20411831.9
2019-02-26,0.5735929868949291,0.27277047796951365,0.15363653513555722,62632543.980000004,29784724.27,16776089.080000002
2019-02-27,0.5787755342332781,0.2714778511854864,0.14974661458123556,51309618.61,24067059.13,13275339.45
2019-02-28,0.6017259388148197,0.2723774977865913,0.12589656339858896,39642678.55,17944670.310000002,8294269.32
2019-03-01,0.5715882976691672,0.27432842597877527,0.15408327635205754,37773979.97,18129266.310000002,10182746.25
2019-03-04,0.5335500248667073,0.28773697552804905,0.1787129996052436,55566991.48,29966596.049999997,18612207.41
2019-03-05,0.5575540375386585,0.28530161148284533,0.1571443509784962,49731368.89,25447649.43,14016585.23
2019-03-06,0.5630874050864199,0.28124098182394797,0.1556716130896322,62011322.62,30972323.48,17143701.909999996
2019-03-07,0.5668867300554906,0.2788948288153139,0.15421844112919558,65818017.760000005,32380904.020000003,17905432.53
2019-03-08,0.5786911441696131,0.2661258269388302,0.15518302889155666,68163135.13999999,31346549.69,18278769.04
2019-03-11,0.5475656351524674,0.28996031049860543,0.16247405434892717,51441445.29,27240528.79,15263741.260000002
2019-03-12,0.5552067592540112,0.2860042047185229,0.15878903602746583,62843394.940000005,32372579.93,17973199.96
2019-03-13,0.5918148311750353,0.27047512251275413,0.13771004631221057,61904093.0,28291817.4,14404531.73
2019-03-14,0.6114247235298061,0.264589309815296,0.12398596665489771,49378957.36,21368361.05,10013166.83
2019-03-15,0.5700456257141704,0.28399750137146934,0.14595687291436032,42552550.83,21199738.35,10895333.59
2019-03-18,0.5479915541741208,0.2919646438944456,0.16004380193143367,45356276.79000001,24165389.229999997,13246538.059999999
2019-03-19,0.5870709437978363,0.2812945801605492,0.13163447604161446,45299539.71,21705238.759999998,10157173.06
2019-03-20,0.6004369022874607,0.27198337356957797,0.12757972414296131,46581282.68,21100192.81,9897504.92
2019-03-21,0.5603860327003092,0.28407421350663525,0.15553975379305568,49417280.43,25050901.08,13716172.75
2019-03-22,0.6003854135225295,0.27121556190028473,0.1283990245771858,47891827.39,21634451.11,10242194.07
2019-03-25,0.6059792210103807,0.2680128606432023,0.12600791834641692,49379120.03,21839427.42,10267943.040000001
2019-03-26,0.6296233183403502,0.26105589339065555,0.10932078826899416,48064397.599999994,19928572.990000002,8345367.2700000005
2019-03-27,0.5984766628919862,0.2711334752338135,0.13038986187420035,39545241.480000004,17915550.29,8615705.33
2019-03-28,0.6110153876183123,0.2639913424147711,0.12499326996691659,40324888.07,17422509.4,8249120.6
2019-03-29,0.54414444984664,0.2856124804648909,0.17024306968846908,45226639.919999994,23738720.14,14149775.88
2019-04-01,0.5275590338203832,0.2968310439899546,0.1756099221896622,54780246.08,30822100.64,18234840.34
2019-04-02,0.5699301750198116,0.2825721835280656,0.14749764145212274,58912843.91,29209070.990000002,15246614.25
2019-04-03,0.5611384634638592,0.28251569568307,0.15634584085307088,52108449.96,26234977.549999997,14518590.25
2019-04-04,0.5561854147352043,0.2831444712704651,0.16067011399433062,55850437.120000005,28432501.230000004,16134001.11
2019-04-08,0.574296677555126,0.27596457881499004,0.14973874362988385,61238554.43,29426727.58,15966981.11
2019-04-09,0.5845373330213496,0.27840278732725093,0.13705987965139954,49087224.26,23379208.28,11509767.930000002
2019-04-10,0.5746173422213627,0.2768485801479518,0.14853407763068552,51625347.67,24872907.85,13344747.600000001
2019-04-11,0.6142720300676964,0.2635329388639156,0.12219503106838799,50177102.93000001,21526813.450000003,9981559.23
2019-04-12,0.6105656223358984,0.2685644357716466,0.12086994189245488,40105881.330000006,17641041.35,7939516.03
2019-04-15,0.5848503994670962,0.2740628310182345,0.14108676951466934,45342474.25,21247633.36,10938221.5
2019-04-16,0.5585529476452115,0.2798523723951121,0.16159467995967652,44162390.69,22126729.18,12776599.64
2019-04-17,0.5737200157882404,0.2793720344719925,0.14690794973976706,45849924.120000005,22326546.45,11740427.67
2019-04-18,0.599383092699432,0.26731115237911085,0.13330575492145721,45138101.97,20130561.240000002,10038936.420000002
2019-04-19,0.5918727256611165,0.27061690496489926,0.13751036937398434,42426073.28,19398110.68,9856891.11
2019-04-22,0.610074212536504,0.26152443981184503,0.12840134765165107,49041624.1,21022988.689999998,10321712.5
2019-04-23,0.6168373771539183,0.26250713039633494,0.12065549244974669,45194527.14,19233409.11,8840203.48
2019-04-24,0.5955632953031408,0.26841424072132203,0.1360224639755373,38828658.79,17499676.44,8868192.32
2019-04-25,0.6369835137642733,0.25432720343198245,0.1086892828037443,46692930.11,18642997.939999998,7967272.27
2019-04-26,0.6171378090936549,0.26042480679194047,0.12243738411440469,38490085.25,16242357.650000002,7636260.950000001
2019-04-29,0.6293477055927621,0.25809696727802284,0.1125553271292151,40616229.22,16656810.68,7263986.07
2019-04-30,0.6205078605833231,0.2642694310672548,0.11522270834942216,30794994.39,13115346.58,5718352.470000001
2019-05-06,0.6249948856784345,0.24640162809953017,0.12860348622203527,41078853.89,16195166.89,8452683.28
2019-05-07,0.6144326387670663,0.2619072616893,0.12366009954363358,33040949.130000003,14083992.23,6649788.4399999995
2019-05-08,0.6404411400096829,0.25389214545421307,0.10566671453610409,31287529.529999997,12403416.18,5162145.66
2019-05-09,0.6536447740067071,0.24322667891894942,0.10312854707434353,28355820.220000003,10551437.5,4473828.38
2019-05-10,0.5750847183399177,0.27423151145525615,0.15068377020482615,35073330.51,16724861.8,9189918.47
2019-05-13,0.6581245826004377,0.24314001075925296,0.09873540664030933,30667835.549999997,11330040.03,4600954.43
2019-05-14,0.6489924995931855,0.2474744280918377,0.10353307231497687,29550396.07,11268184.719999999,4714142.76
2019-05-15,0.5897025716940832,0.27175183458286356,0.13854559372305322,30224270.84,13928209.649999999,7100934.859999999
2019-05-16,0.6347467754308679,0.2567681118024285,0.10848511276670365,33131152.55,13402231.9,5662473.54
2019-05-17,0.6716510495998379,0.23607800992052896,0.09227094047963313,38513064.89,13536921.770000001,5290897.290000001
2019-05-20,0.6465347429172758,0.24682905736456479,0.10663619971815934,29897413.98,11414004.57,4931129.600000001
2019-05-21,0.613136776994183,0.26429611237268386,0.12256711063313307,29384392.81,12666310.48,5873991.35
2019-05-22,0.6528842451835208,0.2441613928774724,0.10295436193900666,30626208.67,11453389.82,4829495.88
2019-05-23,0.6646082893071759,0.23508047873170626,0.10031123196111803,30863579.83,10916844.16,4658328.47
2019-05-24,0.6559643241954669,0.24252193384557638,0.10151374195895671,24976354.68,9234212.31,3865215.12
2019-05-27,0.6137492039739905,0.26747027708699705,0.11878051893901244,27772198.18,12103050.39,5374827.52
2019-05-28,0.6175781483307782,0.2568478266015787,0.1255740250676431,30831140.39,12822525.25,6268988.64
2019-05-29,0.6313323115645887,0.2521687121047519,0.11649897633065945,28144717.85,11241650.59,5193510.23
